1 0                   
2 0                   
3 0                   
4 0.8                 
5 4.5                 
6 8.55                
7 12.8                
8 16.65               
9 19.75               
10 22.5                
11 26.3                
12 30.65               
13 32.95               
14 36                  
15 40.6                
16 42.8                
17 46.2                
18 49.85               
19 53.05               
20 56.5                
21 59.25               
22 62.65               
23 66                  
24 68.95               
25 72.4                
26 75.45               
27 78.45               
28 82                  
29 83.75               
30 86.5                
