1 0.05                
2 1.35                
3 6.6                 
4 10.95               
5 18.05               
6 22.7                
7 26.5                
8 29                  
9 34.5                
10 36.65               
11 39.9                
12 42.35               
13 44.65               
14 46.4                
15 49.7                
16 51                  
17 54.1                
18 54.5                
19 56.8                
20 58.45               
21 61.1                
22 61.5                
23 63.2                
24 64.8                
25 65.9                
