1 0                   
2 0                   
3 0                   
4 1.05                
5 4.7                 
6 9.85                
7 14.15               
8 17.9                
9 22.4                
10 26.4                
11 29.2                
12 32.35               
13 35.6                
14 39.35               
15 43.25               
16 46.05               
17 49.1                
18 52.9                
19 55.55               
20 58.95               
21 61.4                
22 64.6                
23 68.25               
24 71.05               
25 73.55               
26 78.1                
27 79.25               
28 82.85               
29 85.75               
30 89.25               
