1 0.1                 
2 1.55                
3 5.9                 
4 9.9                 
5 15.85               
6 19.35               
7 23.5                
8 28                  
9 30.1                
10 33.25               
11 36.6                
12 37.9                
13 42                  
14 45.2                
15 46.75               
16 48.5                
17 51.25               
18 52.4                
19 54.35               
20 56.15               
21 58.15               
22 59.6                
23 61.1                
24 62.95               
25 64.25               
